Energy(eV);Delta;Beta
24286.0117;1.23658867E-06;3.8301487E-10
24452.1094;1.21983874E-06;3.7710679E-10
24619.3457;1.20331572E-06;3.71341263E-10
24787.7246;1.18701644E-06;3.65713793E-10
24957.2559;1.17093725E-06;3.60221797E-10
25127.9473;1.15507601E-06;3.54859392E-10
25299.8047;1.1394302E-06;3.49624829E-10
25472.8379;1.12399641E-06;3.44512696E-10
25647.0547;1.1087717E-06;3.39520495E-10
25822.4629;1.09375321E-06;3.34644978E-10
25999.0703;1.07893823E-06;3.29882066E-10
26176.8848;1.0643239E-06;3.25229704E-10
26355.918;1.04990738E-06;3.20683119E-10
26536.1738;1.03568686E-06;3.16241644E-10
26717.6621;1.02165916E-06;3.11900589E-10
26900.3945;1.00782086E-06;3.07657483E-10
27084.373;9.94170023E-07;3.03509912E-10
27269.6113;9.80703817E-07;2.994541E-10
27456.1172;9.67420647E-07;2.95489466E-10
27643.8984;9.54317443E-07;2.91611596E-10
27832.9648;9.41391647E-07;2.87819102E-10
28023.3203;9.28641214E-07;2.84109014E-10
28214.9805;9.16063584E-07;2.8047939E-10
28407.9531;9.03656485E-07;2.7692823E-10
28602.2441;8.91417528E-07;2.73452649E-10
28797.8633;8.79343872E-07;2.70051315E-10
28994.8223;8.67433585E-07;2.66721478E-10
29193.125;8.55685187E-07;2.63461919E-10
29392.7852;8.44096121E-07;2.60270194E-10
29593.8125;8.32663545E-07;2.57144556E-10
29796.2129;8.2138564E-07;2.54083588E-10
30000.;8.10260303E-07;2.51084736E-10
